#NAME,S10A,S10B,S10C,S11A,S11B,S11C,S12A,S12B,S12C,S13A,S13B,S13C,S1A,S1B,S1C,S2A,S2C,S3A,S3B,S3C,S4A,S4B,S4C,S5A,S5C,S6A,S6B,S6C,S7A,S7B,S7C,S8A,S8B,S8C,S9A,S9B,S9C,SW0A,SW0B,SW0C,SW1A,SW1B,SW1C,SWFA,SWFB,SWFC
749c889b34fb910927a6c14eb195d0fd,0,0,0,0,0,0,155,249,0,0,0,0,0,0,0,0,0,0,0,82,0,880,0,19,0,0,281,607,0,0,675,0,509,0,272,116,0,967,0,0,475,0,0,0,0,0
69c02a17ec051dacffd71a681c5ebf96,0,110,0,0,0,0,55,0,0,102,101,167,31,37,282,16,40,0,56,25,16,0,12,127,154,101,24,0,0,0,0,464,0,0,0,22,12,0,13,0,0,0,0,31,37,28
5d8f0565e843a5edcff5a59fb39d3c41,0,0,0,0,0,0,916,883,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,40,0,483,785,0,0,773,0,1359,0,1215,0,0,795,0,0,1011,0,0,0,0,0
9923d763eb63bb1df021dba228a0ed9d,0,394,0,0,0,190,1329,0,168,0,0,0,29,43,254,1482,71,0,0,48,0,0,35,0,42,0,0,0,129,0,0,0,0,65,0,0,70,0,46,87,0,6,132,1983,100,1701
651474385f6960f6114f05a65b3ef48f,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,334,0,0,0,8,0,0,283,0,1240,0,0,0,0,0,112,77,0,570,2064,191,0,0,2982,115,0,468
bcd4a8e123d20e53770260a9fc414268,0,0,0,0,0,0,0,0,0,17,20,0,0,0,0,0,0,0,0,0,0,0,0,149,62,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
d8b680e8f236d6dd1e336ec2a9f881ac,45,0,0,115,0,0,0,0,0,29,0,0,94,0,302,0,0,0,0,81,24,0,293,0,0,0,0,0,0,13,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b1930aa47ca16dda27dfbf9ce637fa76,102,65,9,948,83,104,670,61,63,0,0,0,2,29,31,76,5,0,0,68,0,0,13,0,2,0,21,88,1175,39,114,7,80,5,64,8,3,42,569,982,38,185,397,1007,18,903
1dc39fa07e9c9c9bc363865d67a15d21,118,0,0,0,0,0,83,17,0,0,0,0,27,110,21,137,130,0,0,220,0,1534,159,9,351,0,111,22,0,0,20,0,12,0,0,292,0,0,0,0,24,0,0,5,0,0
2dcd6fc0e5b9aaf52d6a5ebb9b257d91,0,0,0,0,0,0,0,0,0,118,0,18,0,0,0,0,0,0,35,13,0,0,0,193,49,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,55,65
76e10bb5703b7efdab789eb89a9e6ac9,0,0,0,0,0,0,303,0,20,467,119,230,0,130,0,0,183,0,268,93,0,0,0,407,127,316,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,36,206,148
9781d2b87a25af01c8e3ecf7b8836c71,0,0,0,0,0,0,41,0,0,35,0,0,0,0,0,0,0,0,69,43,0,42,0,336,17,137,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,21,47
e68d2a13be2bb4d2dd50390592f538d0,0,0,0,0,0,13,0,0,4007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3633,0,0,0,0,0,0,0,0,0,0,0,0,0,81,4,0,0
75d77bf07431f34c20195ae42ca2cae2,0,0,0,0,19,0,0,0,0,165,159,151,16,10,91,50,49,0,131,119,0,0,21,174,165,183,0,0,0,0,0,179,0,0,0,54,0,0,0,0,0,0,0,24,196,0
b4a13fc1ed3d311fe2c3c0dfd0916784,459,0,0,212,0,0,34,0,292,58,0,0,5,0,1955,29,0,0,0,0,38,0,3842,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,15,0,0
b81162fddd279b8aa60859ca04342bf5,0,0,0,0,21,0,26,0,15,124,134,154,29,19,0,31,0,0,61,125,18,0,29,96,70,175,0,9,0,0,0,39,24,0,0,0,0,0,0,0,0,16,0,0,96,52
b479458ac97c9957646ec4c9c76a9205,0,0,23,0,0,0,38,145,0,0,0,0,29,556,164,89,292,0,600,11,42,229,19,314,1429,14,117,156,0,0,147,54,143,288,104,115,0,7,0,0,137,31,0,0,0,0
e6270011ba3ad7f15e5e9bdae31bc79b,0,0,0,0,0,0,0,0,0,0,0,0,5728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,10,0,0,0,0,608,0,0,281,0,0,0,0
86bb611ddf9344a8a1189754fce45105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
350fcb7be8de771893f39cc6b60883d2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2b921e8089d12ad5283418dbfa008158,0,0,0,0,0,0,0,0,0,50,0,32,0,0,0,0,0,0,39,31,0,0,0,146,53,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,67
674edfad25ef3b3e644aa6eeaab34bb5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3705,8,2767,0,0,6,0,0,34,0,0,0,0,0,156,0,53,0,0,0,0,0,0,46,13,0,30,5,0,0,0
ba5fdba0f0fba25e1e6c46b7bf7c0dd2,171,0,3,127,9,175,81,133,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,81,177,80,1014,67,72,127,13,140,6,0,159,810,184,180,2077,35,0,0,0
92a97886a84f20a18e79bfae9691021f,0,0,0,0,0,0,0,0,0,0,35,124,0,0,0,0,0,0,30,42,0,0,0,37,22,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2c73bbed8f44ccfdc896d5455c57789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,1179,158,0,291,0,109,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0
fbdcbf13e989d8843dfb04778df52d4d,19,0,0,0,0,0,0,0,0,226,17,0,0,0,0,0,0,0,28,0,0,0,0,154,82,116,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
dad1940f0ee64b92020effb49374c42c,0,0,0,0,0,0,0,0,0,110,49,62,0,0,0,0,0,0,66,11,0,0,0,141,81,37,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,102,39,47
ea4afd7b44847c0f381411f615f53d46,0,0,10,0,0,21,62,0,0,0,0,0,31,65,98,35,66,0,125,27,25,387,0,194,0,41,0,0,0,0,12,0,47,0,0,0,0,0,31,0,0,46,0,0,0,0
e8d69a5d243733b6c8c04fab167e7fc6,0,0,0,0,0,0,121,0,0,0,3,27,0,0,0,0,0,0,0,7,0,0,0,182,23,75,30,0,0,0,0,82,0,0,0,49,0,0,0,0,0,0,0,0,0,0
69cde183a41ce28cb2dd967aa5df97f8,0,23,0,0,0,0,515,0,32,0,0,0,0,27,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1178,0,0,0,0,0,0,0,0,190,808,690,0,0,499,1180,0,680
25954290527f7d30a02ece4f6e8dbd31,129,33,0,0,0,0,82,0,53,0,0,0,161,965,0,0,67,0,1970,0,372,97,0,55,36,0,558,20,0,47,0,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f9f260b69de5ce05161f2fc329675643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,240,0,0,0,0,0,24,0,0,0,619,817,0,2194,1091,515,0,340
de7713dbfd164b87c1b6ecd3466f92e8,0,0,0,0,0,0,651,521,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,302,468,0,0,524,0,941,0,681,0,0,658,0,0,647,0,0,0,0,0
aa3fee4b1aa68006c7c822b3c69ec52f,0,78,0,0,0,0,917,0,24,0,0,0,0,31,0,0,0,0,0,33,0,0,0,0,0,0,0,0,1029,0,0,0,0,0,0,0,0,188,680,789,0,0,361,1085,0,597
9f3be80fb40ffbbf0c2af89df6332be2,0,0,0,0,0,0,684,507,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,205,555,0,0,391,0,929,0,754,21,0,567,0,0,582,0,0,0,0,0
66567bcb25aba2c5fa20874b7c002797,0,269,0,563,98,0,182,45,0,49,0,175,0,0,0,362,0,0,0,0,0,129,0,0,0,132,76,153,295,78,159,82,0,169,47,146,0,154,34,0,49,0,0,0,0,236
3a68c5300026c1e3d78a3df2230c673e,301,47,0,2273,154,148,75,113,93,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,71,114,59,143,221,66,124,0,128,0,0,95,182,67,120,401,0,0,25,0
72c6cba9abb136b9da1fd053fa88ad71,0,49,0,0,0,0,511,0,47,0,0,0,0,18,0,72,0,0,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,0,0,171,625,651,0,0,343,726,0,1261
1b171da8fa7149816e5aa624c0ace1d0,0,0,0,0,0,0,11,0,0,23,107,20,303,25,16,2287,295,1266,0,0,20,0,3,0,0,0,0,0,43,79,0,0,0,0,0,0,0,0,59,14,0,0,24,0,0,16
c22f93ba2f7bb8ba2b274cd7245e4ae1,0,0,0,0,0,0,0,0,0,306,423,233,0,0,0,0,0,0,90,145,0,0,0,82,0,50,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,198,72
451c8dde8ad49f72ed24163af967c93e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,16,23
d2a8e53ce164d98f5ea29a548852e689,0,0,0,0,0,17,552,462,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,299,492,0,0,456,0,652,0,737,116,0,418,0,0,591,0,0,0,0,0
06fc21d488bb4e619743a79fdf5f4d28,375,62,0,13,75,0,0,0,279,0,0,0,223,244,50,111,36,43,77,72,999,63,154,0,107,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f83a13d635c2c04edb0ffd345a8bdee8,0,0,0,0,0,0,26,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0
c9fa0ae0642b91cfa65cd51ceb93bbe9,0,50,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,27,36,0,0,0,230,9,93,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,56,0
5314e24f365ee5e7639905cea1b5bdf3,0,0,0,0,0,0,0,0,0,323,62,60,0,0,0,0,0,0,149,0,0,0,0,161,45,491,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,146,15
b15dbb80925b44f9a159c498f6739500,0,0,0,0,0,0,0,0,0,39,10,0,0,0,0,0,0,0,25,0,0,0,0,136,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25
6cd053658eeb5fd171ea12fe8bd45bbc,0,0,0,233,1463,0,0,0,0,35,23,0,0,0,0,40,0,0,17,0,0,0,0,11,8,26,0,0,156,71,0,144,0,151,0,0,112,0,0,552,0,56,0,52,81,234
c5e9412f04dbd06e540a2a2cc9d09ad0,0,78,0,79,0,159,101,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,34,301,0,765,0,222,65,0,0,0,0,0,660,169,0,1322,73,0,0,0
e31fcdbb7acf187dfefe7c1955a55818,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,11,0,36,0,0,12,11,0,38,0,0,0,0
95e4c60b1a280b8c04e6872d4f0b7a1b,141,0,0,0,0,0,0,0,89,0,0,0,416,0,0,814,40,1997,0,0,468,0,0,23,0,0,0,0,68,250,0,0,0,0,0,0,0,0,117,16,0,28,0,0,0,0
a83de6025f29b7f79c3fded1c94affc8,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,125,0,0,0,0,0,0,0
1815e347f343dc0bb82940f6b26f0aa2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0
