"","wild0","tank1","tank2","tank3","tank4","tank5","wild6","tank6","tank7","tank8","tank9","tank10","tank11","tank12","wild19","tank19"
"g__Neptuniibacter",-1.33260350520381,-0.670985830804354,-0.283542658984306,-0.00457367739290249,0.307369668767236,-0.739750198549705,-1.45171541286546,0.78905085960571,0.248046686365754,0.942446785489196,1.01369104081813,0.541284968519427,0.633257826275233,0.609969972972818,-0.353026977177471,-0.248919547835487
"f__Kiloniellaceae",-0.862150943275827,-0.983451557435908,-0.584930250525023,0.96428429264951,0.754726479618878,-0.457025086723372,-0.701800253490523,0.481473591584408,-0.142928256794335,0.470567820620699,1.2064037689775,0.251019002991116,0.863631116191709,0.345937507235963,-0.764218295385075,-0.841538936239721
"g__Muricauda",-0.451147022209078,0.180318460953394,1.5020799359141,0.787922482521301,0.700786815710435,-0.0692705912688833,-0.47968250007904,0.824781022704103,-0.666087495801668,-0.376248518502291,-0.286099753040046,-0.0445675912648845,0.482350213863912,0.140014986998651,-1.0941858345322,-1.15096461196781
"f__Alteromonadaceae",-0.790147063884645,0.814307648320192,1.1568457796716,0.172516391223805,0.263512918505925,-0.387025642260073,-0.790147063884645,0.501890373891115,-0.0724142059679958,-0.662976414282162,-0.535805764679678,1.6823871026359,-0.00551369345262217,-0.461415703469876,-0.0958675984822019,-0.790147063884645
"g__Pseudomonas",-0.759091535694906,-0.243496456740463,-0.759091535694906,-0.253692583524573,0.305171526870895,-0.146524346374662,-0.315824804766001,-0.759091535694906,-0.439470932400457,-0.288326843052499,0.400899921455388,-0.315824804766001,1.0004974719976,-0.367142584374919,0.643037005117345,2.29797203764306
"g__BD1-7_clade",-0.0854422585853904,0.218475135549834,1.04060461157129,0.87126814458542,0.642082262382282,0.363925098117417,-1.15272296887268,-0.405553347411408,0.0408413873790901,0.521075595568822,-0.391075032883907,-0.580004641192188,0.640001492133453,0.0266210941962293,-1.17814582146014,-0.571950751078128
"g__Dadabacteriales",-0.412883976251225,-0.392603364309075,0.603173672530882,0.960679028143248,0.502506023778819,-0.602049838526634,-0.625042100025254,-0.0979136721574651,-0.180578151532138,-0.0448166841071566,0.692667286248432,0.318648224985627,0.934592555596439,-0.0517223188792826,-1.07945132200486,-0.525205363490361
"c__Alphaproteobacteria",-0.87957276723496,-0.780872649053732,-0.0615802167125363,0.559208452960771,0.831361141938152,-0.411918505648833,-0.739712110679222,0.168087028192575,-0.176053203303696,0.0208437182808041,1.17224054871607,-0.289920142384939,1.0151240811365,0.620634553270093,-0.91704264568101,-0.13082728379604
"g__PS1_clade",-0.473463680180412,-0.927272780209024,0.351857730633289,0.974712201158186,0.708304746936316,-1.06438829503333,-0.572704510970225,0.15139462453775,-0.565465242997402,0.0403346994241635,0.362708066708084,-0.265094801707578,0.860000916095979,0.708844079659978,0.00163443225299463,-0.291402186308773
"f__Micavibrionaceae",-1.33863662284988,0.0429766192963833,0.913393471481337,0.752821153473174,0.30060823068515,-1.27076248080672,-1.27076248080672,-0.0703818434079163,-0.0327048731503163,0.542034453345921,0.751263440246356,0.126684316184855,0.518004407671528,-0.376280473957272,0.0617550857205025,0.349987596873618
"g__NB1-j",-0.812067905564335,-0.861115311184487,0.283042389400761,0.822271212661418,0.532261821518019,-0.655847940902648,-0.774023782134767,0.185888055207049,-0.0759720169326396,0.00415970086991169,0.669413655043416,-0.285070822614763,1.02065011211143,0.069456701081593,0.143674819133925,-0.26672068769388
"g__Blastopirellula",-0.498165698666184,-0.012669825992916,0.940656907004495,1.1319140620985,1.18550638841849,-0.298700357868231,-0.707039620788438,0.140636626305283,-0.82986050326265,0.100480674739779,-0.245508474855339,-0.120679692039473,0.384383893768711,0.39368704358007,-1.40275404028471,-0.161887382157381
"g__Subgroup_10",-0.755065096312239,-0.371251889906388,0.0202171163517759,0.850996279714538,0.839807751921009,-0.72467428837949,-0.292907944871711,0.0834483267572497,-0.258231863465077,-0.556052598481577,0.605042553380699,0.144592702194919,1.23890928294074,0.238863163882662,-0.467900650672522,-0.595792845054589
"g__OM190",-0.714570217659555,0.0403553672336042,0.598096202964783,1.15602369680288,0.732428236314505,-0.951200674194153,-0.754118291872449,0.312419407651339,-0.44615785170802,0.0623700579127881,0.121135340853796,-0.0804933311837293,0.902906400250197,0.402956731827285,-0.559458357632385,-0.822692717560878
"f__Rhizobiaceae",-0.335345330795046,-0.059238535012685,0.491211502436435,0.849919791530578,0.73887167383499,0.437387579256036,-0.916811603843706,0.640273720020716,-0.534035782442868,0.166945972837837,0.0209759440978819,-0.307708123996622,0.482938635576546,0.387747688012499,-0.685382321657658,-1.37775080985493
